id,family,description,canonicalForm,canonicalExample,matchExample,citationType,isCanonical,isNeutral,jurisdiction,pattern
1,EWCA Civ,Court of Appeal (Civil Division),[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022] EWCA Civ 123,NCitYearAbbrNum,True,True,EW,"{""id"": ""1"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""Civ""}, {""LIKE_NUM"": true}]}"
1a,EWCA Civ,Court of Appeal (Civil Division),[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022] EWCA CIV 123,NCitYearAbbrNum,False,True,EW,"{""id"": ""1a"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""CIV""} , {""LIKE_NUM"": true}]}"
1b,EWCA Civ,Court of Appeal (Civil Division),[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022] EWCA civ 123,NCitYearAbbrNum,False,True,EW,"{""id"": ""1b"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""civ""} , {""LIKE_NUM"": true}]}"
1c,EWCA Civ,Court of Appeal (Civil Division),[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022] ewca civ 123,NCitYearAbbrNum,False,True,EW,"{""id"": ""1c"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""ewca""}, {""ORTH"": ""civ""} , {""LIKE_NUM"": true}]}"
1d,EWCA Civ,Court of Appeal (Civil Division),[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022[ EWCA Civ 123,NCitYearAbbrNum,False,True,EW,"{""id"": ""1d"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""[""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""Civ""}, {""LIKE_NUM"": true}]}"
1e,EWCA Civ,Court of Appeal (Civil Division),[dddd] EWCA Civ d+,[2022] EWCA Civ 123,]2022] EWCA Civ 123,NCitYearAbbrNum,False,True,EW,"{""id"": ""1e"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""]""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""Civ""}, {""LIKE_NUM"": true}]}"
2,EWCA Crim,Court of Appeal (Criminal Division),[dddd] EWCA Crim d+,[2022] EWCA Crim 123,[2022] EWCA Crim 123,NCitYearAbbrNum,True,True,EW,"{""id"": ""2"", ""description"": ""Court of Appeal (Criminal Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""Crim""} , {""LIKE_NUM"": true}]}"
3,EWHC Admin,High Court (Administrative Division),[dddd] EWHC d+ (Admin),[2022] EWHC 123 (Admin),[2022] EWHC 123 (Admin),NCitYearAbbrNumDiv,True,True,EW,"{""id"": ""3"", ""description"": ""High Court (Administrative Court)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWHC""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""Admin""}, {""ORTH"": "")""}]}"
3a,EWHC Admin,High Court (Administrative Division),[dddd] EWHC d+ (Admin),[2022] EWHC 123 (Admin),[2022] EWHC Admin 123,NCitYearAbbrNumDiv,False,True,EW,"{""id"": ""3a"", ""description"": ""High Court (Administrative Court)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWHC""}, {""ORTH"": ""Admin""}, {""LIKE_NUM"": true}]}"
4,EWHC Admlty,High Court (Admiralty Division),[dddd] EWHC d+ (Admlty),[2022] EWHC 123 (Admlty),[2022] EWHC 123 (Admlty),NCitYearAbbrNumDiv,True,True,EW,"{""id"": ""4"", ""description"": ""High Court (Admiralty Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWHC""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""Admlty""}, {""ORTH"": "")""}]}"
